EQUIP,ALLOY,GAUGE,WIDTH,SPEED
DC1,3104,560,1360,72
DC1,3104,560,1560,64
DC1,3104,560,1610,67
DC1,3104,560,1650,65
DC1,3104,560,1680,64
DC1,3104,560,1740,60
DC1,3104,560,1830,61
DC1,6xxx,560,1560,54
DC1,6xxx,560,1830,55
DC2,3104,560,1100,64
DC2,3104,560,1360,62
DC2,3104,560,1560,64
DC2,3104,560,1830,53
DC2,3104,520,1400,55
DC2,3104,520,1410,55
DC2,3104,520,1420,55
DC2,3104,520,1430,55
DC2,3104,520,1440,55
DC2,3104,520,1450,55
DC2,3104,520,1460,55
DC2,3104,520,1470,55
DC2,3104,520,1480,55
DC2,3104,520,1490,55
DC2,3104,520,1500,55
DC2,3104,520,1510,55
DC2,3104,520,1520,55
DC2,3104,520,1530,55
DC2,3104,520,1540,55
DC2,3104,520,1550,55
DC2,3104,520,1560,55
DC2,3104,520,1570,55
DC2,3104,520,1580,55
DC2,3104,520,1590,55
DC2,3104,520,1600,55
DC2,3104,520,1610,55
DC2,3104,520,1620,55
DC2,3104,520,1630,55
DC2,3104,520,1640,55
DC2,3104,520,1650,55
DC2,3104,520,1660,55
DC2,3104,520,1670,55
DC2,3104,520,1680,55
DC2,3104,520,1690,55
DC2,3104,520,1700,55
DC2,3104,520,1200,55
DC2,3104,520,1210,55
DC2,3104,520,1220,55
DC2,3104,520,1230,55
DC2,3104,520,1240,55
DC2,3104,520,1250,55
DC2,3104,520,1260,55
DC2,3104,520,1270,55
DC2,3104,520,1280,55
DC2,3104,520,1290,55
DC2,3104,520,1300,55
DC2,3104,520,1310,55
DC2,3104,520,1320,55
DC2,3104,520,1330,55
DC2,3104,520,1340,55
DC2,3104,520,1350,55
DC2,3104,520,1360,55
DC2,3104,520,1370,55
DC2,3104,520,1380,55
DC2,3104,520,1390,55
DC2,3104,520,1400,55
DC2,5182,560,1610,57
DC2,5182,520,1650,58
DC2,5182,560,1710,58
DC2,5182,520,1200,50
DC2,5182,520,1210,50
DC2,5182,520,1220,50
DC2,5182,520,1230,50
DC2,5182,520,1240,50
DC2,5182,520,1250,50
DC2,5182,520,1260,50
DC2,5182,520,1270,50
DC2,5182,520,1280,50
DC2,5182,520,1290,50
DC2,5182,520,1300,50
DC2,5182,520,1310,50
DC2,5182,520,1320,50
DC2,5182,520,1330,50
DC2,5182,520,1340,50
DC2,5182,520,1350,50
DC2,5182,520,1360,50
DC2,5182,520,1370,50
DC2,5182,520,1380,50
DC2,5182,520,1390,50
DC2,5182,520,1400,50
DC2,5xxx,560,1360,56
DC2,5xxx,520,1400,53
DC2,5xxx,520,1410,53
DC2,5xxx,520,1420,53
DC2,5xxx,520,1430,53
DC2,5xxx,520,1440,53
DC2,5xxx,520,1450,53
DC2,5xxx,520,1460,53
DC2,5xxx,520,1470,53
DC2,5xxx,520,1480,53
DC2,5xxx,520,1490,53
DC2,5xxx,520,1500,53
DC2,5xxx,520,1510,53
DC2,5xxx,520,1520,53
DC2,5xxx,520,1530,53
DC2,5xxx,520,1540,53
DC2,5xxx,520,1550,53
DC2,5xxx,520,1560,53
DC2,5xxx,520,1570,53
DC2,5xxx,520,1580,53
DC2,5xxx,520,1590,53
DC2,5xxx,520,1600,53
DC2,5xxx,520,1610,53
DC2,5xxx,520,1620,53
DC2,5xxx,520,1630,53
DC2,5xxx,520,1640,53
DC2,5xxx,520,1650,53
DC2,5xxx,520,1660,53
DC2,5xxx,520,1670,53
DC2,5xxx,520,1680,53
DC2,5xxx,520,1690,53
DC2,5xxx,520,1700,53
DC2,5xxx,520,1200,53
DC2,5xxx,520,1210,53
DC2,5xxx,520,1220,53
DC2,5xxx,520,1230,53
DC2,5xxx,520,1240,53
DC2,5xxx,520,1250,53
DC2,5xxx,520,1260,53
DC2,5xxx,520,1270,53
DC2,5xxx,520,1280,53
DC2,5xxx,520,1290,53
DC2,5xxx,520,1300,53
DC2,5xxx,520,1310,53
DC2,5xxx,520,1320,53
DC2,5xxx,520,1330,53
DC2,5xxx,520,1340,53
DC2,5xxx,520,1350,53
DC2,5xxx,520,1360,53
DC2,5xxx,520,1370,53
DC2,5xxx,520,1380,53
DC2,5xxx,520,1390,53
DC2,5xxx,520,1400,53
DC2,6xxx,560,1360,55
DC2,6xxx,560,1560,55
DC2,6xxx,560,1830,51
